player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,slg,sp_hr9_split,clash_badge,prob,score,target_call,rank,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rank,synergy_score,synergy_call
695506,Jac Caglianone,3,Kansas City Royals,Troy Melton,R,L,0.216,0.495,1.33,ABOVE-AVG MATCHUP,0.1855,50.2,⚾ Standard Matchup,14,19,70,3.33,1.12,0.2196,74.9,7,62.1,💎 SATURATION SURGE (Due Alert)
800050,Chase DeLauter,2,Cleveland Guardians,Tanner Gordon,R,L,0.157,0.442,2.52,ABOVE-AVG MATCHUP,0.3237,92.4,👑 APEX: Home Run Lock,15,0,0,0.0,1.06,0.0986,25.0,160,60.0,⚡ PURE MATCHUP EDGE
608070,José Ramírez,3,Cleveland Guardians,Tanner Gordon,R,S,0.143,0.382,2.52,ABOVE-AVG MATCHUP,0.2997,88.7,👑 APEX: Home Run Lock,16,6,26,0.63,1.06,0.0984,25.0,138,58.1,⚡ PURE MATCHUP EDGE
683953,Travis Bazzana,7,Cleveland Guardians,Tanner Gordon,R,L,0.136,0.369,2.52,ABOVE-AVG MATCHUP,0.2873,86.3,👑 APEX: Home Run Lock,17,8,34,0.77,1.06,0.0921,25.0,135,56.9,⚡ PURE MATCHUP EDGE
664034,Ty France,4,San Diego Padres,Connor Prielipp,L,R,0.22,0.511,1.27,ELEVATED POWER EDGE,0.1947,54.4,🔥 TARGET: Home Run Play,18,5,12,0.56,1.12,0.18,57.4,22,55.8,⚾ Baseline Confluence
642350,Jose Siri,5,Los Angeles Angels,MacKenzie Gore,L,R,0.206,0.461,1.35,ABOVE-AVG MATCHUP,0.2003,56.8,🔥 TARGET: Home Run Play,19,9,11,0.49,1.06,0.172,53.5,29,55.2,⚾ Baseline Confluence
694197,Angel Genao,6,Cleveland Guardians,Tanner Gordon,R,S,0.111,0.444,2.52,ABOVE-AVG MATCHUP,0.2416,73.5,🔥 TARGET: Home Run Play,20,3,13,0.41,1.02,0.1226,30.0,99,52.6,⚡ PURE MATCHUP EDGE
624424,Michael Conforto,8,Chicago Cubs,Emerson Hancock,R,L,0.216,0.438,1.26,ABOVE-AVG MATCHUP,0.1787,47.2,⚾ Standard Matchup,21,17,38,1.69,1.06,0.1812,58.0,21,52.4,💎 SATURATION SURGE (Due Alert)
677594,Julio Rodríguez,4,Seattle Mariners,Matthew Boyd,L,R,0.163,0.416,1.77,ABOVE-AVG MATCHUP,0.1884,51.5,⚾ Standard Matchup,22,14,61,2.28,1.12,0.1701,52.5,30,52.0,💎 SATURATION SURGE (Due Alert)
665019,Kody Clemens,5,Minnesota Twins,Randy Vásquez,R,L,0.229,0.465,1.21,ABOVE-AVG MATCHUP,0.178,46.9,⚾ Standard Matchup,23,3,10,0.47,1.12,0.1779,56.4,24,51.5,⚾ Baseline Confluence
592518,Manny Machado,3,San Diego Padres,Connor Prielipp,L,R,0.198,0.413,1.27,ABOVE-AVG MATCHUP,0.163,40.2,⚾ Standard Matchup,24,8,32,1.44,1.12,0.1918,63.1,17,51.2,💎 SATURATION SURGE (Due Alert)
641680,Jonah Heim,7,Athletics,Hayden Wesneski,R,S,0.179,0.41,1.54,ABOVE-AVG MATCHUP,0.1988,56.2,🔥 TARGET: Home Run Play,25,11,40,1.5,1.06,0.154,44.5,39,50.6,🔥 SYNERGY: High Matchup & Saturation
679822,Justin Foscue,1,Texas Rangers,Reid Detmers,L,R,0.221,0.487,1.1,ABOVE-AVG MATCHUP,0.1775,46.6,⚾ Standard Matchup,26,3,4,0.19,1.06,0.173,54.0,27,50.2,⚾ Baseline Confluence
801126,Brock Rodden,9,Seattle Mariners,Matthew Boyd,L,S,0.2,0.5,1.77,ABOVE-AVG MATCHUP,0.226,67.7,🔥 TARGET: Home Run Play,27,6,24,0.75,1.02,0.1239,30.5,96,49.8,⚡ PURE MATCHUP EDGE
668227,Randy Arozarena,2,Seattle Mariners,Matthew Boyd,L,R,0.177,0.449,1.77,ABOVE-AVG MATCHUP,0.2028,57.9,🔥 TARGET: Home Run Play,28,13,54,1.78,1.12,0.147,41.1,43,49.8,🔥 SYNERGY: High Matchup & Saturation
545341,Randal Grichuk,4,Chicago White Sox,Sean Manaea,L,R,0.129,0.323,1.49,ABOVE-AVG MATCHUP,0.1432,32.0,⚾ Standard Matchup,29,19,38,1.89,1.06,0.2017,67.6,12,49.1,💎 SATURATION SURGE (Due Alert)
695657,Colson Montgomery,5,Chicago White Sox,Sean Manaea,L,L,0.217,0.433,0.95,ABOVE-AVG MATCHUP,0.1527,35.9,⚾ Standard Matchup,30,2,8,0.41,1.12,0.1915,62.9,18,48.9,⚾ Baseline Confluence
694671,Wyatt Langford,3,Texas Rangers,Reid Detmers,L,R,0.203,0.454,1.1,ABOVE-AVG MATCHUP,0.1643,40.8,⚾ Standard Matchup,31,12,51,2.21,1.06,0.1794,57.2,23,48.7,💎 SATURATION SURGE (Due Alert)
691777,Max Muncy,9,Athletics,Hayden Wesneski,R,R,0.16,0.376,0.0,NEUTRAL TRAJECTORY,0.0198,25.0,🛑 FADE: Under Low Power,32,4,11,0.62,1.12,0.2182,74.3,9,48.7,⚾ Baseline Confluence
673548,Seiya Suzuki,2,Chicago Cubs,Emerson Hancock,R,R,0.215,0.483,0.97,ABOVE-AVG MATCHUP,0.1401,30.8,⚾ Standard Matchup,33,10,43,1.95,1.12,0.1995,66.6,13,48.0,💎 SATURATION SURGE (Due Alert)
665833,Oneil Cruz,5,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.214,0.48,0.83,ABOVE-AVG MATCHUP,0.1331,28.2,⚾ Standard Matchup,34,4,15,0.78,1.12,0.2049,69.0,11,47.8,⚾ Baseline Confluence
690984,Petey Halpin,9,Cleveland Guardians,Tanner Gordon,R,L,0.093,0.308,2.52,ABOVE-AVG MATCHUP,0.2068,59.7,🔥 TARGET: Home Run Play,35,33,71,2.22,1.02,0.1263,31.6,73,46.2,🔥 SYNERGY: High Matchup & Saturation
596019,Francisco Lindor,2,New York Mets,Sean Burke,R,S,0.187,0.426,1.2,ABOVE-AVG MATCHUP,0.1651,41.1,⚾ Standard Matchup,36,17,79,3.06,1.06,0.1651,50.0,32,45.4,💎 SATURATION SURGE (Due Alert)
694374,Tim Tawa,6,Arizona Diamondbacks,Nick Lodolo,L,R,0.15,0.385,1.82,ABOVE-AVG MATCHUP,0.1971,55.4,🔥 TARGET: Home Run Play,37,15,44,1.37,1.06,0.1292,32.8,62,44.6,🔥 SYNERGY: High Matchup & Saturation
680777,Ryan Jeffers,4,Minnesota Twins,Randy Vásquez,R,R,0.21,0.493,1.25,ABOVE-AVG MATCHUP,0.1695,43.1,⚾ Standard Matchup,38,9,38,1.46,1.06,0.1576,46.3,36,44.6,💎 SATURATION SURGE (Due Alert)
672515,Gabriel Moreno,3,Arizona Diamondbacks,Nick Lodolo,L,R,0.163,0.47,1.82,ABOVE-AVG MATCHUP,0.2122,62.0,🔥 TARGET: Home Run Play,39,14,50,1.21,1.06,0.1012,25.0,128,44.2,🔥 SYNERGY: High Matchup & Saturation
701398,Sal Stewart,2,Cincinnati Reds,Eduardo Rodriguez,L,R,0.215,0.474,0.95,ABOVE-AVG MATCHUP,0.1514,35.3,⚾ Standard Matchup,40,1,4,0.2,1.12,0.1722,53.6,28,44.1,⚾ Baseline Confluence
572233,Christian Walker,5,Houston Astros,J.T. Ginn,R,R,0.21,0.44,0.8,ABOVE-AVG MATCHUP,0.1263,25.8,⚾ Standard Matchup,41,8,30,1.37,1.12,0.1932,63.7,16,44.0,💎 SATURATION SURGE (Due Alert)
553993,Eugenio Suárez,4,Cincinnati Reds,Eduardo Rodriguez,L,R,0.205,0.413,0.95,ABOVE-AVG MATCHUP,0.1449,32.7,⚾ Standard Matchup,42,2,9,0.42,1.12,0.177,56.0,26,43.9,⚾ Baseline Confluence
687263,Zach Neto,1,Los Angeles Angels,MacKenzie Gore,L,R,0.191,0.422,1.35,ABOVE-AVG MATCHUP,0.1872,51.0,⚾ Standard Matchup,43,1,5,0.19,1.12,0.135,35.4,56,43.5,⚾ Baseline Confluence
679529,Spencer Torkelson,6,Detroit Tigers,Noah Cameron,L,R,0.187,0.411,0.87,ABOVE-AVG MATCHUP,0.1097,25.0,⚾ Standard Matchup,44,23,86,3.47,1.12,0.1901,62.3,19,42.9,💎 SATURATION SURGE (Due Alert)
680869,Zack Gelof,3,Athletics,Hayden Wesneski,R,R,0.212,0.481,0.0,ABOVE-AVG MATCHUP,0.0198,25.0,🛑 FADE: Under Low Power,45,10,17,0.82,1.06,0.1885,61.5,20,42.5,⚾ Baseline Confluence
545361,Mike Trout,2,Los Angeles Angels,MacKenzie Gore,L,R,0.195,0.434,1.35,ABOVE-AVG MATCHUP,0.1907,52.6,🔥 TARGET: Home Run Play,46,0,0,0.0,1.12,0.1246,30.8,92,42.1,⚾ Baseline Confluence
608369,Corey Seager,2,Texas Rangers,Reid Detmers,L,L,0.197,0.415,1.01,ABOVE-AVG MATCHUP,0.1478,33.9,⚾ Standard Matchup,47,1,4,0.18,1.06,0.167,51.0,31,42.1,⚾ Baseline Confluence
571970,Max Muncy,4,Los Angeles Dodgers,Bubba Chandler,R,L,0.246,0.497,1.12,ABOVE-AVG MATCHUP,0.1987,56.1,🔥 TARGET: Home Run Play,48,2,8,0.22,1.06,0.1043,25.0,149,41.2,⚾ Baseline Confluence
694249,Cole Carrigg,3,Colorado Rockies,Joey Cantillo,L,S,0.186,0.467,1.17,ABOVE-AVG MATCHUP,0.1935,53.8,🔥 TARGET: Home Run Play,49,2,8,0.17,1.06,0.0819,25.0,152,40.0,⚾ Baseline Confluence
545121,Ildemaro Vargas,1,Arizona Diamondbacks,Nick Lodolo,L,S,0.143,0.407,1.82,ABOVE-AVG MATCHUP,0.1888,51.7,⚾ Standard Matchup,50,0,0,0.0,1.06,0.0788,25.0,161,38.9,⚾ Baseline Confluence
663728,Cal Raleigh,7,Seattle Mariners,Matthew Boyd,L,S,0.14,0.296,1.77,ABOVE-AVG MATCHUP,0.1641,40.7,⚾ Standard Matchup,51,10,43,1.42,1.06,0.137,36.4,51,38.6,💎 SATURATION SURGE (Due Alert)
664040,Brandon Lowe,2,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.227,0.48,0.83,ABOVE-AVG MATCHUP,0.1406,31.0,⚾ Standard Matchup,52,0,0,0.0,1.12,0.1555,45.3,38,37.9,⚾ Baseline Confluence
693307,Dillon Dingler,4,Detroit Tigers,Noah Cameron,L,R,0.235,0.49,0.87,ABOVE-AVG MATCHUP,0.1359,29.2,⚾ Standard Matchup,53,0,0,0.0,1.12,0.1597,47.4,35,37.9,⚾ Baseline Confluence
650489,Willi Castro,5,Colorado Rockies,Joey Cantillo,L,S,0.161,0.425,1.17,NEUTRAL TRAJECTORY,0.1625,40.0,⚾ Standard Matchup,54,10,40,1.3,1.06,0.1343,35.1,59,37.6,💎 SATURATION SURGE (Due Alert)
664023,Ian Happ,5,Chicago Cubs,Emerson Hancock,R,S,0.191,0.405,1.26,ABOVE-AVG MATCHUP,0.1598,38.9,⚾ Standard Matchup,55,1,5,0.19,1.12,0.1366,36.2,52,37.6,⚾ Baseline Confluence
686797,Brooks Lee,8,Minnesota Twins,Randy Vásquez,R,S,0.175,0.419,1.21,NEUTRAL TRAJECTORY,0.133,28.2,⚾ Standard Matchup,56,11,33,1.21,1.12,0.1565,45.8,37,36.6,⚾ Baseline Confluence
682829,Elly De La Cruz,1,Cincinnati Reds,Eduardo Rodriguez,L,S,0.208,0.467,0.95,ABOVE-AVG MATCHUP,0.1469,33.5,⚾ Standard Matchup,57,1,4,0.16,1.12,0.144,39.7,45,36.5,⚾ Baseline Confluence
677951,Bobby Witt Jr.,2,Kansas City Royals,Troy Melton,R,R,0.177,0.463,0.25,NEUTRAL TRAJECTORY,0.0296,25.0,🛑 FADE: Under Low Power,58,27,120,3.95,1.12,0.1601,47.6,34,35.8,💎 SATURATION SURGE (Due Alert)
672695,Geraldo Perdomo,4,Arizona Diamondbacks,Nick Lodolo,L,S,0.127,0.371,1.82,ABOVE-AVG MATCHUP,0.1696,43.1,⚾ Standard Matchup,59,0,0,0.0,1.06,0.0574,25.0,162,34.4,⚾ Baseline Confluence
669394,Jake Burger,6,Texas Rangers,Reid Detmers,L,R,0.183,0.42,1.1,ABOVE-AVG MATCHUP,0.1494,34.5,⚾ Standard Matchup,60,0,0,0.0,1.12,0.1325,34.3,61,34.4,⚾ Baseline Confluence
695600,Carter Jensen,1,Kansas City Royals,Troy Melton,R,L,0.18,0.401,1.33,ABOVE-AVG MATCHUP,0.1572,37.7,⚾ Standard Matchup,61,2,6,0.2,1.12,0.1221,29.8,101,33.9,⚾ Baseline Confluence
814439,Ryan Waldschmidt,9,Arizona Diamondbacks,Nick Lodolo,L,R,0.112,0.391,1.82,ABOVE-AVG MATCHUP,0.1511,35.2,⚾ Standard Matchup,62,38,139,4.34,1.02,0.1278,32.2,67,33.8,💎 SATURATION SURGE (Due Alert)
676724,Jared Young,5,New York Mets,Sean Burke,R,L,0.177,0.447,1.2,NEUTRAL TRAJECTORY,0.1501,34.8,⚾ Standard Matchup,63,14,30,0.95,1.06,0.129,32.7,64,33.8,⚾ Baseline Confluence
701358,Cam Smith,7,Houston Astros,J.T. Ginn,R,R,0.176,0.397,0.8,NEUTRAL TRAJECTORY,0.1022,25.0,⚾ Standard Matchup,64,5,21,0.78,1.12,0.1517,43.4,40,33.8,⚾ Baseline Confluence
666126,Carlos Cortes,4,Athletics,Hayden Wesneski,R,L,0.147,0.407,1.54,ABOVE-AVG MATCHUP,0.1664,41.7,⚾ Standard Matchup,65,8,17,0.41,1.06,0.0946,25.0,145,33.7,⚾ Baseline Confluence
686527,Dominic Canzone,3,Seattle Mariners,Matthew Boyd,L,L,0.232,0.494,0.4,ABOVE-AVG MATCHUP,0.0649,25.0,🛑 FADE: Under Low Power,66,0,0,0.0,1.12,0.1508,42.9,41,33.6,⚾ Baseline Confluence
605141,Mookie Betts,5,Los Angeles Dodgers,Bubba Chandler,R,R,0.175,0.412,0.32,NEUTRAL TRAJECTORY,0.042,25.0,🛑 FADE: Under Low Power,67,1,5,0.21,1.12,0.1497,42.4,42,33.4,⚾ Baseline Confluence
664983,Jake McCarthy,1,Colorado Rockies,Joey Cantillo,L,L,0.195,0.49,0.83,ABOVE-AVG MATCHUP,0.1478,33.9,⚾ Standard Matchup,68,26,73,2.16,1.06,0.1262,31.5,74,32.7,💎 SATURATION SURGE (Due Alert)
668709,JJ Bleday,6,Cincinnati Reds,Eduardo Rodriguez,L,L,0.214,0.433,0.59,ABOVE-AVG MATCHUP,0.0965,25.0,⚾ Standard Matchup,69,0,0,0.0,1.12,0.1471,41.1,44,32.7,⚾ Baseline Confluence
686681,Michael Massey,7,Kansas City Royals,Troy Melton,R,L,0.169,0.447,1.33,ABOVE-AVG MATCHUP,0.1483,34.1,⚾ Standard Matchup,70,12,27,0.83,1.06,0.1248,30.9,87,32.6,⚾ Baseline Confluence
691720,Kyle Karros,2,Colorado Rockies,Joey Cantillo,L,R,0.159,0.424,1.17,NEUTRAL TRAJECTORY,0.1606,39.2,⚾ Standard Matchup,71,21,67,1.69,1.06,0.1073,25.0,116,32.4,💎 SATURATION SURGE (Due Alert)
671732,Lawrence Butler,5,Athletics,Hayden Wesneski,R,L,0.14,0.358,1.54,ABOVE-AVG MATCHUP,0.1591,38.6,⚾ Standard Matchup,72,5,13,0.37,1.06,0.1094,25.0,146,32.1,⚾ Baseline Confluence
670623,Isaac Paredes,3,Houston Astros,J.T. Ginn,R,R,0.162,0.424,0.8,NEUTRAL TRAJECTORY,0.0945,25.0,⚾ Standard Matchup,73,18,74,2.31,1.12,0.1437,39.5,46,32.0,💎 SATURATION SURGE (Due Alert)
666139,Josh Lowe,7,Los Angeles Angels,MacKenzie Gore,L,L,0.153,0.366,0.55,NEUTRAL TRAJECTORY,0.0624,25.0,🛑 FADE: Under Low Power,74,1,4,0.16,1.06,0.1435,39.4,47,31.9,⚾ Baseline Confluence
673357,Luis Robert Jr.,6,New York Mets,Sean Burke,R,R,0.147,0.362,0.79,NEUTRAL TRAJECTORY,0.0851,25.0,⚾ Standard Matchup,75,1,5,0.19,1.06,0.1426,39.0,48,31.7,⚾ Baseline Confluence
680757,Steven Kwan,1,Cleveland Guardians,Tanner Gordon,R,L,0.062,0.327,2.52,ABOVE-AVG MATCHUP,0.1431,32.0,⚾ Standard Matchup,76,10,43,1.34,1.02,0.1251,31.0,80,31.5,💎 SATURATION SURGE (Due Alert)
605137,Josh Bell,3,Minnesota Twins,Randy Vásquez,R,S,0.175,0.433,1.21,NEUTRAL TRAJECTORY,0.133,28.2,⚾ Standard Matchup,77,4,16,0.54,1.12,0.1342,35.1,60,31.5,⚾ Baseline Confluence
665487,Fernando Tatis Jr.,1,San Diego Padres,Connor Prielipp,L,R,0.154,0.434,1.27,NEUTRAL TRAJECTORY,0.1235,25.0,⚾ Standard Matchup,78,55,236,6.38,1.12,0.1408,38.1,49,31.3,💎 SATURATION SURGE (Due Alert)
701538,Jackson Merrill,5,San Diego Padres,Connor Prielipp,L,L,0.168,0.408,1.16,NEUTRAL TRAJECTORY,0.123,25.0,⚾ Standard Matchup,79,3,12,0.44,1.12,0.1398,37.7,50,31.1,⚾ Baseline Confluence
691783,Jordan Lawlar,7,Arizona Diamondbacks,Nick Lodolo,L,R,0.104,0.354,1.82,ABOVE-AVG MATCHUP,0.1412,31.3,⚾ Standard Matchup,80,5,17,0.53,1.02,0.1231,30.2,98,30.8,⚾ Baseline Confluence
668904,Royce Lewis,6,Minnesota Twins,Randy Vásquez,R,R,0.179,0.419,1.25,NEUTRAL TRAJECTORY,0.1399,30.8,⚾ Standard Matchup,81,1,3,0.1,1.06,0.1248,30.9,88,30.8,⚾ Baseline Confluence
680574,Matt McLain,5,Cincinnati Reds,Eduardo Rodriguez,L,R,0.158,0.358,0.95,NEUTRAL TRAJECTORY,0.1086,25.0,⚾ Standard Matchup,82,25,107,3.33,1.06,0.1356,35.7,53,30.1,💎 SATURATION SURGE (Due Alert)
694203,Denzer Guzman,6,Los Angeles Angels,MacKenzie Gore,L,R,0.132,0.368,1.35,ABOVE-AVG MATCHUP,0.1335,28.4,⚾ Standard Matchup,83,9,38,1.17,1.06,0.1266,31.7,72,30.0,⚾ Baseline Confluence
682626,Francisco Alvarez,9,New York Mets,Sean Burke,R,R,0.173,0.413,0.79,NEUTRAL TRAJECTORY,0.0993,25.0,⚾ Standard Matchup,84,0,0,0.0,1.06,0.1349,35.4,57,30.0,⚾ Baseline Confluence
543760,Marcus Semien,8,New York Mets,Sean Burke,R,R,0.142,0.351,0.79,NEUTRAL TRAJECTORY,0.0823,25.0,⚾ Standard Matchup,85,7,28,0.93,1.06,0.1349,35.4,54,30.0,⚾ Baseline Confluence
694378,Jacob Gonzalez,8,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.116,0.36,0.83,POWER SUPPRESSED,0.0607,25.0,🛑 FADE: Under Low Power,86,5,17,0.58,1.06,0.135,35.4,55,30.0,⚾ Baseline Confluence
686668,Brenton Doyle,6,Chicago White Sox,Sean Manaea,L,R,0.121,0.333,1.49,ABOVE-AVG MATCHUP,0.1349,28.9,⚾ Standard Matchup,87,12,39,1.22,1.02,0.1249,31.0,83,29.9,⚾ Baseline Confluence
673237,Yainer Diaz,6,Houston Astros,J.T. Ginn,R,R,0.14,0.394,0.8,NEUTRAL TRAJECTORY,0.0822,25.0,⚾ Standard Matchup,88,11,49,1.58,1.06,0.1345,35.2,58,29.9,💎 SATURATION SURGE (Due Alert)
805367,Chase Meidroth,1,Chicago White Sox,Sean Manaea,L,R,0.133,0.406,1.49,ABOVE-AVG MATCHUP,0.1473,33.7,⚾ Standard Matchup,89,0,0,0.0,1.06,0.0799,25.0,159,29.5,⚾ Baseline Confluence
699912,Jose Fernandez,8,Arizona Diamondbacks,Nick Lodolo,L,R,0.103,0.364,1.82,ABOVE-AVG MATCHUP,0.1399,30.8,⚾ Standard Matchup,90,0,0,0.0,1.02,0.1175,27.9,107,29.4,⚾ Baseline Confluence
650859,Luis Rengifo,2,San Diego Padres,Connor Prielipp,L,S,0.05,0.254,1.27,NEUTRAL TRAJECTORY,0.0419,25.0,🛑 FADE: Under Low Power,91,61,223,6.97,1.02,0.1289,32.7,63,28.7,💎 SATURATION SURGE (Due Alert)
687597,Jordan Beck,6,Colorado Rockies,Joey Cantillo,L,R,0.125,0.304,1.17,NEUTRAL TRAJECTORY,0.1286,26.6,⚾ Standard Matchup,92,11,33,1.03,1.02,0.1245,30.8,90,28.6,⚾ Baseline Confluence
682998,Corbin Carroll,2,Arizona Diamondbacks,Nick Lodolo,L,L,0.238,0.484,0.52,ABOVE-AVG MATCHUP,0.0947,25.0,⚾ Standard Matchup,93,3,12,0.4,1.12,0.1282,32.4,66,28.6,⚾ Baseline Confluence
669707,Jared Triolo,9,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.07,0.308,1.06,NEUTRAL TRAJECTORY,0.0552,25.0,🛑 FADE: Under Low Power,94,51,168,5.25,1.02,0.1283,32.4,65,28.6,💎 SATURATION SURGE (Due Alert)
682668,Luisangel Acuña,7,Chicago White Sox,Sean Manaea,L,R,0.05,0.269,1.49,ABOVE-AVG MATCHUP,0.0581,25.0,🛑 FADE: Under Low Power,95,53,135,4.22,1.02,0.1278,32.2,68,28.5,💎 SATURATION SURGE (Due Alert)
622268,Donovan Walton,8,Athletics,Hayden Wesneski,R,L,0.109,0.327,1.54,ABOVE-AVG MATCHUP,0.1262,25.8,⚾ Standard Matchup,96,17,55,1.72,1.02,0.1257,31.3,77,28.4,💎 SATURATION SURGE (Due Alert)
666023,Freddy Fermin,8,San Diego Padres,Connor Prielipp,L,R,0.115,0.309,1.27,NEUTRAL TRAJECTORY,0.0937,25.0,⚾ Standard Matchup,97,45,119,3.72,1.02,0.1275,32.1,69,28.4,💎 SATURATION SURGE (Due Alert)
663968,Jake Mangum,7,Pittsburgh Pirates,Yoshinobu Yamamoto,R,S,0.089,0.387,0.83,POWER SUPPRESSED,0.0469,25.0,🛑 FADE: Under Low Power,98,39,109,3.41,1.02,0.1273,32.0,70,28.4,💎 SATURATION SURGE (Due Alert)
695720,Tommy White,6,Athletics,Hayden Wesneski,R,R,0.073,0.33,0.0,POWER SUPPRESSED,0.0198,25.0,🛑 FADE: Under Low Power,99,25,97,3.03,1.02,0.127,31.9,71,28.3,💎 SATURATION SURGE (Due Alert)
676439,Hunter Feduccia,9,Los Angeles Dodgers,Bubba Chandler,R,L,0.106,0.34,1.12,NEUTRAL TRAJECTORY,0.0869,25.0,⚾ Standard Matchup,100,27,62,1.94,1.02,0.126,31.4,75,28.1,💎 SATURATION SURGE (Due Alert)
624431,Jose Trevino,7,Cincinnati Reds,Eduardo Rodriguez,L,R,0.147,0.392,0.95,NEUTRAL TRAJECTORY,0.1014,25.0,⚾ Standard Matchup,101,18,55,1.72,1.02,0.1257,31.3,78,28.0,💎 SATURATION SURGE (Due Alert)
668670,Jake Rogers,8,Chicago White Sox,Sean Manaea,L,R,0.05,0.1,1.49,ABOVE-AVG MATCHUP,0.0581,25.0,🛑 FADE: Under Low Power,102,18,59,1.84,1.02,0.1258,31.3,76,28.0,💎 SATURATION SURGE (Due Alert)
683737,Michael Busch,3,Chicago Cubs,Emerson Hancock,R,L,0.144,0.386,1.26,NEUTRAL TRAJECTORY,0.1175,25.0,⚾ Standard Matchup,103,22,93,2.47,1.12,0.125,31.0,79,27.9,💎 SATURATION SURGE (Due Alert)
701162,Ben Malgeri,7,Detroit Tigers,Noah Cameron,L,R,0.187,0.441,0.87,ABOVE-AVG MATCHUP,0.1097,25.0,⚾ Standard Matchup,104,19,42,1.31,1.02,0.1251,31.0,81,27.9,💎 SATURATION SURGE (Due Alert)
